src_ip,dst_ip,src_port,dst_port,seq,ack,window,flags,packet_size,ttl,label
1921680217,1921680201,41501,80,717172049,1262089460,512,2,60,64,1
1921680213,1921680201,19352,80,1951359074,57776830,512,2,60,64,1
1921680217,1921680201,42124,80,583276236,109794720,512,2,60,64,1
1921680201,21773160140,33934,443,3202677352,2269938704,28619,16,94,64,0
1921680205,1921680201,5913,80,524813688,1367441912,512,2,60,64,1
1921680201,21773160140,33934,443,3202714652,2271681640,29319,16,78,64,0
1921680210,1921680201,37539,80,2144141291,2089069477,512,2,60,64,1
1921680201,1921680213,80,16753,464864481,2069189573,64240,18,58,64,0
1921680201,21773160140,33934,443,3202569182,2265823567,28772,16,94,64,0
21773160140,1921680201,443,33934,2266895735,3202591562,489,16,1466,118,0
1921680219,1921680201,9274,80,1355125112,1568570453,512,2,60,64,1
1921680201,21773160140,33934,443,3202647512,2268378079,29493,16,66,64,0
1921680214,1921680201,24483,80,260360283,10040037,512,2,60,64,1
1921680201,21773160140,33934,443,3202722112,2272191726,28477,16,94,64,0
1921680206,1921680201,54203,80,419190686,1522081218,512,2,60,64,1
1921680201,21773160140,33934,443,3202707192,2271428866,29426,16,78,64,0
1921680201,21773160140,33934,443,3202744492,2273107189,28476,16,94,64,0
1921680201,21773160140,33934,443,3202744492,2273107189,28476,16,94,64,0
1921680219,1921680201,8691,80,903528873,1799970036,512,2,60,64,1
1921680210,1921680201,41850,80,223884565,1697123724,512,2,60,64,1
1921680201,21773160140,33934,443,3202617672,2267548948,29291,16,66,64,0
21773160140,1921680201,443,33934,2270698951,3202692272,489,16,1466,118,0
21773160140,1921680201,443,33934,2267994132,3202632592,489,16,36466,118,0
1921680205,1921680201,7206,80,1972912076,425267367,512,2,60,64,1
1921680214,1921680201,24477,80,108630590,774770291,512,2,60,64,1
1921680213,1921680201,19370,80,1746028008,1481154504,512,2,60,64,1
1921680205,1921680201,2658,80,1382155374,819045223,512,2,60,64,1
1921680201,21773160140,33934,443,3202569182,2265823567,28772,16,94,64,0
1921680201,21773160140,33934,443,3202699732,2270900611,29079,16,78,64,0
1921680213,1921680201,15427,80,1873822032,226102063,512,2,60,64,1
1921680210,1921680201,36927,80,985520629,2076106852,512,2,60,64,1
1921680201,21773160140,33934,443,3202654042,2268833080,29579,24,996,64,0
21773160140,1921680201,443,33934,2265854441,3202569182,489,24,1153,118,0
1921680201,21773160140,33934,443,3202722112,2272376056,27973,16,78,64,0
1921680201,1921680219,80,6850,1078026986,1313530505,64240,18,58,64,0
21773160140,1921680201,443,33934,2272463417,3202729572,489,16,2866,118,0
1921680207,1921680201,42323,80,1951476489,1787924058,512,2,60,64,1
1921680201,1921680219,80,6208,2026858024,1618744712,64240,18,58,64,0
1921680219,1921680201,9304,80,352178771,1385320668,512,2,60,64,1
1921680206,1921680201,50266,80,765658752,1422432509,512,2,60,64,1
1921680205,1921680201,7864,80,316800372,1330908817,512,2,60,64,1
1921680201,21773160140,33934,443,3202580372,2266306663,29132,16,78,64,0
21773160140,1921680201,443,33934,2266862135,3202591562,489,16,1466,118,0
142250181238,1921680201,443,34700,351570755,978116087,544,24,135,56,0
21773160140,1921680201,443,33934,2272169326,3202722112,489,16,2866,118,0
1921680201,21773160140,33934,443,3202684812,2270289026,29033,16,94,64,0
1921680201,21773160140,33934,443,3202770602,2274350418,29546,16,66,64,0
1921680210,1921680201,41811,80,1765208976,641055394,512,2,60,64,1
1921680201,1921680217,80,42710,1846563767,1855708426,64240,18,58,64,0
1921680206,1921680201,54233,80,503841483,1692900993,512,2,60,64,1
1921680201,1921680208,80,19749,2853564968,1338474959,64240,18,58,64,0
1921680201,1921680219,80,5044,2648116621,468297372,64240,18,58,64,0
1921680214,1921680201,25151,80,1122040447,1367445601,512,2,60,64,1
1921680201,1921680219,80,5663,691683205,739137966,64240,18,58,64,0
1921680201,21773160140,33934,443,3202647512,2268611873,28404,16,94,64,0
1921680201,21773160140,33934,443,3202744492,2273078725,28656,16,78,64,0
1921680201,21773160140,33934,443,3202677352,2269938704,28619,16,94,64,0
1921680205,1921680201,3286,80,1334603251,303754171,512,2,60,64,1
1921680209,1921680201,63876,80,1139871394,990465972,512,2,60,64,1
1921680214,1921680201,23156,80,1344059046,39559511,512,2,60,64,1
1921680209,1921680201,64350,80,421903682,443562100,512,2,60,64,1
1921680210,1921680201,36353,80,1120170781,863686814,512,2,60,64,1
1921680201,21773160140,33934,443,3202662432,2269420741,28205,16,94,64,0
1921680201,1921680213,80,22617,771332738,2072475375,64240,18,58,64,0
1921680201,21773160140,33934,443,3202744492,2273107189,28476,16,94,64,0
21773160140,1921680201,443,33934,2267262672,3202602752,489,16,2866,118,0
1921680220,1921680201,12410,80,422307854,765784714,512,2,60,64,1
1921680202,1921680201,61740,80,2045352855,848229594,512,2,60,64,1
1921680205,1921680201,3962,80,1597073762,1512192668,512,2,60,64,1
21773160140,1921680201,443,33934,2265808167,3202569182,489,16,4266,118,0
1921680201,21773160140,33934,443,3202580372,2266330463,28947,16,94,64,0
21773160140,1921680201,443,33934,2273514934,3202755682,489,16,1466,118,0
21773160140,1921680201,443,33934,2269916304,3202677352,489,16,2866,118,0
1921680201,21773160140,33934,443,3202707192,2271441466,29336,16,78,64,0
1921680218,1921680201,59747,80,2134516695,564832647,512,2,60,64,1
21773160140,1921680201,443,33934,2272491417,3202729572,489,16,5666,118,0
1921680201,1921680217,80,42110,2487873414,1711841657,64240,18,58,64,0
21773160140,1921680201,443,33934,2271654576,3202714652,489,16,4266,118,0
1722171814,1921680201,443,54516,4183135342,3505738134,1040,24,134,119,0
21773160140,1921680201,443,33934,2272172126,3202722112,489,24,4266,118,0
1921680201,1921680219,80,8695,369213611,1842857239,64240,18,58,64,0
1921680201,1921680213,80,19345,2302274298,254844967,64240,18,58,64,0
21773160140,1921680201,443,33934,2272110526,3202722112,489,16,2866,118,0
1921680201,1921680217,80,45106,1053242492,1897421836,64240,18,58,64,0
1921680219,1921680201,3208,80,320236089,80473522,512,2,60,64,1
21773160140,1921680201,443,33934,2271347672,3202707192,489,24,24796,118,0
21773160140,1921680201,443,33934,2270094180,3202677352,489,16,1466,118,0
1921680201,21773160140,33934,443,3202596692,2267102186,29579,24,1466,64,0
1921680220,1921680201,12853,80,107873891,395282307,512,2,60,64,1
1921680201,1921680207,80,40379,1279891276,1275319528,64240,18,58,64,0
1921680206,1921680201,56176,80,514738706,356728164,512,2,60,64,1
1921680211,1921680201,2898,80,925682029,1191404504,512,2,60,64,1
21773160140,1921680201,443,33934,2266721488,3202591562,489,16,1466,118,0
1921680201,21773160140,33934,443,3202692272,2270535037,29112,16,94,64,0
1921680212,1921680201,21782,80,939608025,1406537708,512,2,60,64,1
21773160140,1921680201,443,33934,2265967768,3202569182,489,24,2866,118,0
1921680201,21773160140,33934,443,3202722112,2271992926,29568,16,66,64,0
1921680214,1921680201,23176,80,841326086,1805356601,512,2,60,64,1
1921680201,1921680216,80,2662,3141790381,902497777,64240,18,58,64,0
1921680201,21773160140,33934,443,3202660102,2269042667,29579,24,1466,64,0
21773160140,1921680201,443,33934,2270582637,3202692272,489,16,2866,118,0
1921680209,1921680201,65301,80,1961687015,1926205524,512,2,60,64,1
1921680201,1921680213,80,22660,2174385293,33803874,64240,18,58,64,0
21773160140,1921680201,443,33934,2274440571,3202778062,489,16,7066,118,0
1921680214,1921680201,26465,80,1130012006,1757912198,512,2,60,64,1
21773160140,1921680201,443,33934,2270704551,3202692272,489,24,2866,118,0
1921680201,21773160140,33934,443,3202714652,2271885067,28045,16,94,64,0
1921680201,21773160140,33934,443,3202658702,2269042667,29579,16,1466,64,0
1921680201,1921680219,80,6269,64336513,1897405868,64240,18,58,64,0
1921680201,21773160140,33934,443,3202662432,2269132341,28894,16,66,64,0
1921680201,21773160140,33934,443,3202632592,2267888034,29568,16,66,64,0
1921680217,1921680201,42131,80,1210471290,0,0,4,60,64,0
21773160140,1921680201,443,33934,2273579555,3202755682,489,16,5666,118,0
1921680201,21773160140,33934,443,3202640052,2268189387,29568,16,78,64,0
1921680201,1921680206,80,57473,3514583169,1865119414,64240,18,58,64,0
1921680201,21773160140,33934,443,3202729572,2272434017,29346,16,66,64,0
21773160140,1921680201,443,33934,2272868724,3202737032,489,16,2866,118,0
1921680217,1921680201,46870,80,33457760,1417152131,512,2,60,64,1
1921680201,1921680208,80,19727,2841221861,769324177,64240,18,58,64,0
1921680203,1921680201,52192,80,1332089894,1088573192,512,2,60,64,1
1921680201,21773160140,33934,443,3202591562,2266992788,29579,16,1466,64,0
1921680206,1921680201,56189,80,1392281338,1686915254,512,2,60,64,1
21773160140,1921680201,443,33934,2267309577,3202602752,489,16,1466,118,0
1921680213,1921680201,23276,80,884185641,1867748787,512,2,60,64,1
