src_ip,dst_ip,packet_size,ttl,ip_flags,fragment_offset,ip_header_length,ip_checksum,src_mac,dst_mac,label
1921680201,21773160140,66,64,2,0,20,8791,133671544484,133671544825,0
1921680201,21773160140,66,64,2,0,20,8790,133671544484,133671544825,0
1921680201,21773160140,1294,64,2,0,20,64165,133671544484,133671544825,0
1921680201,21773160140,1294,64,2,0,20,64165,133671544484,133671544825,0
1921680208,22400251,87,255,2,0,20,15867,106260561259611,1101088686331,0
1921680201,21773160140,1466,64,2,0,20,7389,133671544484,133671544825,0
1921680201,21773160140,1466,64,2,0,20,7388,133671544484,133671544825,0
1921680201,21773160140,996,64,2,0,20,7857,133671544484,133671544825,0
21773160140,1921680201,66,118,0,0,20,29198,133671544825,133671544484,0
21773160140,1921680201,22466,118,0,0,20,6789,133671544825,133671544484,0
1921680201,21773160140,78,64,2,0,20,8774,133671544484,133671544825,0
21773160140,1921680201,7066,118,0,0,20,22173,133671544825,133671544484,0
1921680201,21773160140,78,64,2,0,20,8773,133671544484,133671544825,0
21773160140,1921680201,4266,118,0,0,20,24968,133671544825,133671544484,0
1921680201,21773160140,78,64,2,0,20,8772,133671544484,133671544825,0
21773160140,1921680201,4266,118,0,0,20,24965,133671544825,133671544484,0
1921680201,21773160140,78,64,2,0,20,8771,133671544484,133671544825,0
21773160140,1921680201,8466,118,0,0,20,20762,133671544825,133671544484,0
1921680201,1921680207,42,64,0,0,20,53250,133671544484,133671544832,0
1921680206,1921680201,60,64,0,0,20,46328,133671544774,133671544484,1
1921680201,1921680206,42,64,0,0,20,61173,133671544484,133671544774,0
1921680203,1921680201,60,64,0,0,20,27509,133671544775,133671544484,1
1921680201,1921680203,42,64,0,0,20,17061,133671544484,133671544775,0
1921680212,1921680201,60,64,0,0,20,10769,106260561257785,133671544484,1
1921680201,1921680212,42,64,0,0,20,24019,133671544484,106260561257785,0
1921680205,1921680201,60,64,0,0,20,29900,133671544708,133671544484,1
1921680201,1921680205,42,64,0,0,20,44572,133671544484,133671544708,0
1921680211,1921680201,60,64,0,0,20,50445,133671544485,133671544484,1
1921680201,1921680211,42,64,0,0,20,57844,133671544484,133671544485,0
1921680208,1921680201,60,64,0,0,20,11738,106260561259611,133671544484,1
1921680201,1921680208,42,64,0,0,20,4346,133671544484,106260561259611,0
1921680204,1921680201,60,64,0,0,20,41012,106260561259283,133671544484,1
1921680201,1921680204,42,64,0,0,20,213,133671544484,106260561259283,0
1921680202,1921680201,60,64,0,0,20,39155,133671544710,133671544484,1
1921680201,1921680202,42,64,0,0,20,30717,133671544484,133671544710,0
1921680207,1921680201,60,64,0,0,20,16090,133671544832,133671544484,1
1921680201,1921680207,42,64,0,0,20,53249,133671544484,133671544832,0
1921680206,1921680201,60,64,0,0,20,38711,133671544774,133671544484,1
1921680201,1921680206,42,64,0,0,20,61167,133671544484,133671544774,0
1921680205,1921680201,60,64,0,0,20,59301,133671544708,133671544484,1
1921680201,1921680205,42,64,0,0,20,44565,133671544484,133671544708,0
1921680203,1921680201,60,64,0,0,20,15525,133671544775,133671544484,1
1921680201,1921680203,42,64,0,0,20,17054,133671544484,133671544775,0
1921680211,1921680201,60,64,0,0,20,27215,133671544485,133671544484,1
1921680201,1921680211,42,64,0,0,20,57842,133671544484,133671544485,0
1921680208,1921680201,60,64,0,0,20,30715,106260561259611,133671544484,1
1921680201,1921680208,42,64,0,0,20,4339,133671544484,106260561259611,0
1921680204,1921680201,60,64,0,0,20,46976,106260561259283,133671544484,1
1921680201,1921680204,42,64,0,0,20,204,133671544484,106260561259283,0
1921680212,1921680201,60,64,0,0,20,17965,106260561257785,133671544484,1
1921680201,1921680212,42,64,0,0,20,24013,133671544484,106260561257785,0
1921680202,1921680201,60,64,0,0,20,50380,133671544710,133671544484,1
1921680201,1921680202,42,64,0,0,20,30713,133671544484,133671544710,0
1921680207,1921680201,60,64,0,0,20,1987,133671544832,133671544484,1
1921680201,1921680207,42,64,0,0,20,53244,133671544484,133671544832,0
1921680206,1921680201,60,64,0,0,20,41275,133671544774,133671544484,1
1921680201,1921680206,42,64,0,0,20,61160,133671544484,133671544774,0
1921680205,1921680201,60,64,0,0,20,10504,133671544708,133671544484,1
1921680201,1921680205,42,64,0,0,20,44563,133671544484,133671544708,0
1921680203,1921680201,60,64,0,0,20,13777,133671544775,133671544484,1
1921680201,1921680203,42,64,0,0,20,17046,133671544484,133671544775,0
1921680212,1921680201,60,64,0,0,20,6626,106260561257785,133671544484,1
1921680201,1921680212,42,64,0,0,20,24009,133671544484,106260561257785,0
1921680211,1921680201,60,64,0,0,20,60407,133671544485,133671544484,1
1921680201,1921680211,42,64,0,0,20,57836,133671544484,133671544485,0
1921680208,1921680201,60,64,0,0,20,8164,106260561259611,133671544484,1
1921680201,1921680208,42,64,0,0,20,4330,133671544484,106260561259611,0
1921680204,1921680201,60,64,0,0,20,4203,106260561259283,133671544484,1
19216803,22400251,84,1,2,0,20,11239,17763811743560,1101088686331,0
19216803,22400251,84,1,2,0,20,11237,17763811743560,1101088686331,0
19216802,239255255250,336,4,0,0,20,39308,107249724448,1101097074682,0
1921680167,22400251,115,255,0,0,20,54190,95280495573006,1101088686331,0
19216802,239255255250,353,4,0,0,20,26730,107249724448,1101097074682,0
19216802,239255255250,376,4,0,0,20,2349,107249724448,1101097074682,0
1921680201,21773160140,1294,64,2,0,20,64165,133671544484,133671544825,0
1921680201,21773160140,1466,64,2,0,20,8836,133671544484,133671544825,0
1921680201,21773160140,1466,64,2,0,20,8835,133671544484,133671544825,0
1921680201,21773160140,996,64,2,0,20,9304,133671544484,133671544825,0
21773160140,1921680201,66,118,0,0,20,34476,133671544825,133671544484,0
21773160140,1921680201,1259,118,0,0,20,33282,133671544825,133671544484,0
21773160140,1921680201,347,118,0,0,20,34193,133671544825,133671544484,0
1921680201,21773160140,66,64,2,0,20,10233,133671544484,133671544825,0
1921680201,21773160140,66,64,2,0,20,10232,133671544484,133671544825,0
21773160140,1921680201,7066,118,0,0,20,27473,133671544825,133671544484,0
1921680201,21773160140,66,64,2,0,20,10231,133671544484,133671544825,0
21773160140,1921680201,7066,118,0,0,20,27468,133671544825,133671544484,0
1921680201,21773160140,66,64,2,0,20,10230,133671544484,133671544825,0
21773160140,1921680201,4266,118,0,0,20,30263,133671544825,133671544484,0
1921680201,21773160140,66,64,2,0,20,10229,133671544484,133671544825,0
21773160140,1921680201,4266,118,0,0,20,30260,133671544825,133671544484,0
1921680201,21773160140,66,64,2,0,20,10228,133671544484,133671544825,0
21773160140,1921680201,4266,118,0,0,20,30257,133671544825,133671544484,0
1921680201,21773160140,66,64,2,0,20,10227,133671544484,133671544825,0
21773160140,1921680201,4266,118,0,0,20,30254,133671544825,133671544484,0
1921680201,21773160140,66,64,2,0,20,10226,133671544484,133671544825,0
21773160140,1921680201,2866,118,0,0,20,31651,133671544825,133671544484,0
1921680201,21773160140,66,64,2,0,20,10225,133671544484,133671544825,0
21773160140,1921680201,4266,118,0,0,20,30249,133671544825,133671544484,0
1921680201,21773160140,66,64,2,0,20,10224,133671544484,133671544825,0
21773160140,1921680201,4266,118,0,0,20,30246,133671544825,133671544484,0
1921680201,21773160140,66,64,2,0,20,10223,133671544484,133671544825,0
21773160140,1921680201,4266,118,0,0,20,30243,133671544825,133671544484,0
1921680201,21773160140,66,64,2,0,20,10222,133671544484,133671544825,0
21773160140,1921680201,4266,118,0,0,20,30240,133671544825,133671544484,0
1921680201,21773160140,66,64,2,0,20,10221,133671544484,133671544825,0
21773160140,1921680201,5666,118,0,0,20,28837,133671544825,133671544484,0
1921680201,21773160140,66,64,2,0,20,10220,133671544484,133671544825,0
21773160140,1921680201,4266,118,0,0,20,30233,133671544825,133671544484,0
1921680201,21773160140,66,64,2,0,20,10219,133671544484,133671544825,0
21773160140,1921680201,4266,118,0,0,20,30230,133671544825,133671544484,0
1921680201,21773160140,66,64,2,0,20,10218,133671544484,133671544825,0
21773160140,1921680201,1466,118,0,0,20,32931,133671544825,133671544484,0
1921680201,21773160140,78,64,2,0,20,10205,133671544484,133671544825,0
21773160140,1921680201,2866,118,0,0,20,31530,133671544825,133671544484,0
1921680201,21773160140,78,64,2,0,20,10204,133671544484,133671544825,0
21773160140,1921680201,2866,118,0,0,20,31528,133671544825,133671544484,0
1921680204,1921680201,60,64,0,0,20,31702,106260561259283,133671544484,1
1921680201,1921680204,42,64,0,0,20,330,133671544484,106260561259283,0
1921680211,1921680201,60,64,0,0,20,18017,133671544485,133671544484,1
1921680201,1921680211,42,64,0,0,20,57950,133671544484,133671544485,0
1921680208,1921680201,60,64,0,0,20,63981,106260561259611,133671544484,1
1921680201,1921680208,42,64,0,0,20,4465,133671544484,106260561259611,0
1921680202,1921680201,60,64,0,0,20,63759,133671544710,133671544484,1
1921680201,1921680202,42,64,0,0,20,30870,133671544484,133671544710,0
1921680206,1921680201,60,64,0,0,20,32461,133671544774,133671544484,1
1921680201,1921680206,42,64,0,0,20,61295,133671544484,133671544774,0
1921680212,1921680201,60,64,0,0,20,51836,106260561257785,133671544484,1
1921680201,1921680212,42,64,0,0,20,24144,133671544484,106260561257785,0
1921680207,1921680201,60,64,0,0,20,16219,133671544832,133671544484,1
1921680201,1921680207,42,64,0,0,20,53349,133671544484,133671544832,0
1921680203,1921680201,60,64,0,0,20,34910,133671544775,133671544484,1
1921680201,1921680203,42,64,0,0,20,17178,133671544484,133671544775,0
1921680205,1921680201,60,64,0,0,20,44854,133671544708,133671544484,1
1921680201,1921680205,42,64,0,0,20,44696,133671544484,133671544708,0
1921680204,1921680201,60,64,0,0,20,63200,106260561259283,133671544484,1
1921680201,1921680204,42,64,0,0,20,323,133671544484,106260561259283,0
1921680208,1921680201,60,64,0,0,20,1362,106260561259611,133671544484,1
1921680201,1921680208,42,64,0,0,20,4457,133671544484,106260561259611,0
1921680211,1921680201,60,64,0,0,20,34228,133671544485,133671544484,1
1921680201,1921680211,42,64,0,0,20,57945,133671544484,133671544485,0
1921680202,1921680201,60,64,0,0,20,42744,133671544710,133671544484,1
1921680201,1921680202,42,64,0,0,20,30860,133671544484,133671544710,0
1921680206,1921680201,60,64,0,0,20,25871,133671544774,133671544484,1
1921680201,1921680206,42,64,0,0,20,61290,133671544484,133671544774,0
1921680212,1921680201,60,64,0,0,20,49602,106260561257785,133671544484,1
1921680201,1921680212,42,64,0,0,20,24134,133671544484,106260561257785,0
1921680207,1921680201,60,64,0,0,20,15372,133671544832,133671544484,1
1921680201,1921680207,42,64,0,0,20,53346,133671544484,133671544832,0
1921680203,1921680201,60,64,0,0,20,37732,133671544775,133671544484,1
1921680201,1921680203,42,64,0,0,20,17171,133671544484,133671544775,0
1921680205,1921680201,60,64,0,0,20,17332,133671544708,133671544484,1
1921680201,1921680205,42,64,0,0,20,44691,133671544484,133671544708,0
1921680204,1921680201,60,64,0,0,20,46328,106260561259283,133671544484,1
1921680201,1921680204,42,64,0,0,20,322,133671544484,106260561259283,0
1921680208,1921680201,60,64,0,0,20,64864,106260561259611,133671544484,1
1921680201,1921680208,42,64,0,0,20,4452,133671544484,106260561259611,0
1921680211,1921680201,60,64,0,0,20,17353,133671544485,133671544484,1
1921680201,1921680211,42,64,0,0,20,57936,133671544484,133671544485,0
1921680202,1921680201,60,64,0,0,20,62930,133671544710,133671544484,1
1921680201,1921680202,42,64,0,0,20,30856,133671544484,133671544710,0
1921680206,1921680201,60,64,0,0,20,62565,133671544774,133671544484,1
1921680201,1921680206,42,64,0,0,20,61287,133671544484,133671544774,0
1921680207,1921680201,60,64,0,0,20,40750,133671544832,133671544484,1
1921680201,1921680207,42,64,0,0,20,53345,133671544484,133671544832,0
1921680212,1921680201,60,64,0,0,20,37721,106260561257785,133671544484,1
1921680201,21773160140,86,64,2,0,20,9835,133671544484,133671544825,0
21773160140,1921680201,4266,118,0,0,20,28539,133671544825,133671544484,0
1921680201,21773160140,86,64,2,0,20,9834,133671544484,133671544825,0
21773160140,1921680201,2866,118,0,0,20,29936,133671544825,133671544484,0
1921680201,21773160140,86,64,2,0,20,9833,133671544484,133671544825,0
21773160140,1921680201,2866,118,0,0,20,29934,133671544825,133671544484,0
1921680201,21773160140,86,64,2,0,20,9832,133671544484,133671544825,0
21773160140,1921680201,1466,118,0,0,20,31332,133671544825,133671544484,0
1921680201,21773160140,86,64,2,0,20,9831,133671544484,133671544825,0
21773160140,1921680201,1466,118,0,0,20,31331,133671544825,133671544484,0
1921680201,21773160140,86,64,2,0,20,9830,133671544484,133671544825,0
21773160140,1921680201,2866,118,0,0,20,29930,133671544825,133671544484,0
1921680201,21773160140,86,64,2,0,20,9829,133671544484,133671544825,0
21773160140,1921680201,4266,118,0,0,20,28528,133671544825,133671544484,0
1921680201,21773160140,86,64,2,0,20,9828,133671544484,133671544825,0
21773160140,1921680201,4266,118,0,0,20,28525,133671544825,133671544484,0
1921680201,21773160140,86,64,2,0,20,9827,133671544484,133671544825,0
21773160140,1921680201,2866,118,0,0,20,29922,133671544825,133671544484,0
1921680201,21773160140,86,64,2,0,20,9826,133671544484,133671544825,0
21773160140,1921680201,2866,118,0,0,20,29920,133671544825,133671544484,0
1921680201,21773160140,86,64,2,0,20,9825,133671544484,133671544825,0
21773160140,1921680201,2866,118,0,0,20,29918,133671544825,133671544484,0
1921680201,21773160140,86,64,2,0,20,9824,133671544484,133671544825,0
21773160140,1921680201,4266,118,0,0,20,28516,133671544825,133671544484,0
1921680201,21773160140,86,64,2,0,20,9823,133671544484,133671544825,0
21773160140,1921680201,1466,118,0,0,20,31313,133671544825,133671544484,0
1921680201,21773160140,86,64,2,0,20,9822,133671544484,133671544825,0
21773160140,1921680201,1466,118,0,0,20,31450,133671544825,133671544484,0
1921680201,21773160140,86,64,2,0,20,9821,133671544484,133671544825,0
21773160140,1921680201,4266,118,0,0,20,28649,133671544825,133671544484,0
1921680201,21773160140,86,64,2,0,20,9820,133671544484,133671544825,0
21773160140,1921680201,2866,118,0,0,20,30046,133671544825,133671544484,0
1921680201,21773160140,86,64,2,0,20,9819,133671544484,133671544825,0
