src_ip,dst_ip,src_port,dst_port,packet_size,ttl,label
112180120205,1921680201,23014,53,60,64,1
14719216165,1921680201,18077,53,60,64,1
24724435,1921680201,61858,53,60,64,1
10712448194,1921680201,41542,53,60,64,1
23036175208,1921680201,33016,53,60,64,1
1340133225,1921680201,24194,53,60,64,1
13418162145,1921680201,52969,53,60,64,1
5747184131,1921680201,62429,53,60,64,1
134207170,1921680201,23015,53,60,64,1
136212380,1921680201,41543,53,60,64,1
22021182204,1921680201,33017,53,60,64,1
1621461100,1921680201,24195,53,60,64,1
10217721157,1921680201,62430,53,60,64,1
14287197167,1921680201,52970,53,60,64,1
18018213238,1921680201,23016,53,60,64,1
14023474109,1921680201,60309,53,60,64,1
81837328,1921680201,33018,53,60,64,1
1999322077,1921680201,6346,53,60,64,1
9321420879,1921680201,61865,53,60,64,1
1715663141,1921680201,62431,53,60,64,1
204202193107,1921680201,41545,53,60,64,1
1396217885,1921680201,52971,53,60,64,1
21414714453,1921680201,61867,53,60,64,1
109200194207,1921680201,23017,53,60,64,1
23116018713,1921680201,54340,53,60,64,1
174217152158,1921680201,64141,53,60,64,1
251158248244,1921680201,33020,53,60,64,1
6711195160,1921680201,52972,53,60,64,1
99611133,1921680201,6348,53,60,64,1
250203190100,1921680201,18081,53,60,64,1
216782111,1921680201,13582,53,60,64,1
211204145198,1921680201,60311,53,60,64,1
166106135233,1921680201,54349,53,60,64,1
17611913480,1921680201,6349,53,60,64,1
2148917489,1921680201,52973,53,60,64,1
62231142122,1921680201,54350,53,60,64,1
1325124180,1921680201,62434,53,60,64,1
2333124790,1921680201,23019,53,60,64,1
193272466,1921680201,54351,53,60,64,1
21715154201,1921680201,6350,53,60,64,1
173204158185,1921680201,52974,53,60,64,1
253203166199,1921680201,62435,53,60,64,1
55173586,1921680201,13584,53,60,64,1
231160152160,1921680201,54359,53,60,64,1
1381400112,1921680201,23020,53,60,64,1
135110249135,1921680201,24200,53,60,64,1
